experience_group,skill_category,share
mid_plus,Programming,61.61971830985915
mid_plus,Spreadsheets,33.568075117370896
mid_plus,Databases,18.896713615023476
mid_plus,Visualisation & BI Tools,56.57276995305164
mid_plus,Data Engineering,23.239436619718308
mid_plus,AI/ML Tools,0.4694835680751174
mid_plus,Statistics,29.342723004694836
junior,Programming,63.286713286713294
junior,Spreadsheets,44.75524475524475
junior,Databases,15.384615384615385
junior,Visualisation & BI Tools,55.24475524475524
junior,Data Engineering,14.685314685314685
junior,AI/ML Tools,0.6993006993006993
junior,Statistics,34.61538461538461
